drug,label,count,drug_id,genes
Doxepin,8,35,6595,"['DRD2', 'ADRA1D', 'CYP2C9', 'KCNH2', 'CYP3A4', 'HTR6', 'SLC6A2', 'HTR2A', 'ADRA2A', 'HTR2C', 'ABCB1', 'CYP2D6', 'ADRA1B', 'ADRA2B', 'CHRM2', 'TRIB3', 'HTR2B', 'CYP2C19', 'SDC1', 'HRH1', 'HRH4', 'ADRA1A', 'SLC6A4', 'ADRA2C', 'HTR1A', 'CHRM5', 'CHRM4', 'CHRM3', 'CYP1A2', 'CHRM1', 'HRH2']"
Thioproperazine,8,35,9122,"['HTR1A', 'SLC22A1', 'DRD1', 'ADRA1B', 'PTK2B', 'IKBKE', 'DRD2', 'EPCAM', 'HTR2A', 'ADRA1A', 'NME1', 'ALB', 'PRKCQ', 'NOTCH1']"
Cephalexin+Domperidone,0,35,"3170, 6220","['EIF4EBP1', 'CYP2D6', 'SLC22A5', 'SLC22A6', 'PSMB8', 'SLC47A1', 'CYP3A4', 'CDC25B', 'ALB', 'SLC22A8', 'SLC15A1', 'SLC15A2', 'DRD2', 'CYP2D6', 'KCNH2', 'DRD3', 'CYP2B6', 'GJA1', 'DNMT3A', 'CYP3A5', 'CYP3A4', 'CYP2C8', 'CYP3A7', 'ABCB1', 'CYP1A2']"
Iohexol+Tolnaftate+Trabectedin+Pemetrexed+Bacampicillin,0,35,"5960, 3321, 8972, 2622, 9095","['SELL', 'COL11A1', 'CYP3A4', 'SRC', 'CYP2C9', 'CYP2E1', 'CYP2C19', 'PTGS1', 'CYP2D6', 'DHFR', 'SLC29A1', 'GART', 'ATIC', 'DCK', 'SLC46A1', 'TYMS', 'NFKB2']"
Rifapentine+Phensuximide+Dofetilide,14,35,"6333, 5812, 5385","['CYP3A43', 'CYP2C9', 'CYP3A7', 'CYP2D6', 'CYP3A5', 'CYP2C8', 'CYP3A4', 'ACLY', 'CACNA1H', 'CYP2C19', 'CACNA1G', 'ABCC5', 'CACNA1I', 'PAK1', 'CYP3A4', 'CTSD', 'KCNK2', 'KCNJ12', 'KCNH2', 'CASP7', 'GDF15']"
Enprofylline+Rescinnamine+Magnesium sulfate+Bendroflumethiazide+Dyphylline,21,35,"5924, 6227, 2641, 3901, 2723","['ADORA2A', 'ADORA1', 'PDE4B', 'ADORA2B', 'PDE4A', 'ACE', 'FDFT1', 'SLC18A2', 'CACNG1', 'CACNB1', 'CACNA1S', 'CACNA1C', 'CACNA2D1', 'CACNB2', 'CA2', 'TPMT', 'CA4', 'CA1', 'SLC12A3', 'KCNMA1', 'PDE4B', 'PDE4C', 'PDE4A', 'PDE3A', 'ADORA1', 'ADORA2A', 'PDE4D', 'PDE7A', 'PDE7B']"
Balsalazide,5,35,6795,"['PNP', 'PTGS2', 'LIG1', 'PTGS1', 'AKR7A2', 'ALOX5', 'SLC7A5', 'PCNA', 'PAK1', 'MYC', 'PPARG', 'EIF4EBP1', 'IFNAR1', 'MIF', 'IGFBP3', 'PSMB8']"
Miconazole,7,35,6769,"['CYP19A1', 'KCNMA1', 'KCNN4', 'KCNN2', 'CYP2B6', 'KIT', 'CYP2D6', 'CYP17A1', 'KCNH6', 'KCNN3', 'KCNMB1', 'KCNH7', 'NOS3', 'CYP2E1', 'ABCB1', 'IKBKB', 'CYP11B1', 'CYP2C19', 'CYP1A2', 'CYP51A1', 'KCNH2', 'CYP3A4', 'NOS2', 'CYP2A6', 'KCNN1', 'CYP2C9']"
Sertindole,23,35,9717,"['HTR1B', 'HTR6', 'P4HTM', 'HTR2C', 'HTR1E', 'CDK4', 'DRD4', 'DRD3', 'CYP3A4', 'SLC25A4', 'ADRA1B', 'HTR1D', 'PCNA', 'ADRA1D', 'DRD2', 'CYP2D6', 'PIN1', 'SLC6A4', 'KCNH2', 'ADRA1A', 'HTR2A', 'HTR1F', 'HRH1', 'HTR1A', 'ADRA2A']"
Levothyroxine,7,35,3982,"['SLCO4C1', 'ALB', 'THRB', 'SLCO1C1', 'GHR', 'CDK6', 'CYP3A4', 'FHL2', 'CYP2C8', 'SLC7A5', 'TTR', 'SLCO1B1', 'HSPD1', 'ABCB1', 'THRA', 'SLCO1A2', 'SLCO1B3']"
Timolol+Ticlopidine+Theobromine,23,36,"4544, 5400, 9632","['TCN1', 'ABCB1', 'CYP2D6', 'ADRB1', 'ADRB3', 'ADRB2', 'VEGFA', 'CYP2C19', 'CYP3A4', 'MPO', 'CYP2C19', 'CYP2B6', 'CYP1A2', 'CYP2D6', 'CYP2E1', 'CYP2C9', 'P2RY12', 'CYP1A1', 'CYP2C8', 'CES1', 'CYP2E1', 'ADORA2A', 'PTGS2', 'CYP1A2', 'GDF15', 'ADORA1', 'PDE4B']"
Hyoscyamine+Mivacurium+Pipecuronium+Iobenguane+Glycopyrronium,12,36,"4371, 6348, 6010, 12828, 5594","['CHRM3', 'CHRM1', 'CHRM2', 'CHRM4', 'CHRM2', 'CHRM3', 'CHRNA1', 'CHRNB1', 'BCHE', 'CHRND', 'CHRNA2', 'CHRNB1', 'CHRNA2', 'CHRM2', 'BCHE', 'CHRND', 'CHRNA1', 'CHRM3', 'SLC6A2', 'CHRM3', 'CHRM1', 'CHRM2', 'CHRM5', 'CHRM4']"
ATP,20,36,451,"['CDK15', 'SLC25A4', 'ABCB11', 'ACVR1', 'ACVR1B', 'ACSS2', 'HSPA1A', 'ABCA1', 'ASNS', 'ABL2', 'ARAF', 'AKT1', 'ABCB1', 'NAE1', 'AMHR2', 'ALK', 'ASS1', 'ADCY1', 'TNK2', 'NT5C2', 'ACVRL1', 'ABCG1', 'ABCC9', 'GRK3', 'ABCC2', 'ABCC8', 'APAF1', 'GRK2', 'ADK', 'PRKAA1', 'ABL1']"
Gabapentin+Olopatadine,1,36,"5769, 6412","['GDF15', 'CACNA2D2', 'ADORA1', 'GHR', 'PROS1', 'CACNA2D1', 'CDK6', 'CACNA1B', 'CYP3A4', 'PIN1', 'CASP10', 'STXBP2', 'S100A12', 'HRH1', 'S100B']"
Buprenorphine+Ifosfamide,23,36,"5629, 6225","['CYP2D6', 'CYP2C8', 'OPRK1', 'CYP3A7', 'ABCG2', 'CYP2C19', 'ABCB1', 'CYP3A5', 'CYP2C9', 'CYP3A4', 'CYP1A2', 'CYP2A6', 'OPRL1', 'OPRM1', 'UGT1A9', 'OPRD1', 'CYP3A4', 'CYP2C9', 'CYP2A6', 'CYP2C19', 'CYP3A5', 'CYP2C8', 'CYP3A7', 'PTGS1', 'CYP2B6']"
Alimemazine,11,36,6248,"['HMGCR', 'CHEK2', 'SQSTM1', 'LIPA', 'HRH1', 'FDPS', 'CYP3A4', 'NPC1', 'CYP51A1']"
Indomethacin,18,36,4645,"['PTGDR2', 'AKR1C3', 'CES1', 'ABCC11', 'SLC22A8', 'UGT1A9', 'CYP2C9', 'CYP2C19', 'CXCL8', 'PLA2G2A', 'SLC10A1', 'UGT2B7', 'PPARG', 'SLC22A11', 'UGT1A1', 'ABCC2', 'SLCO1B1', 'PTGS1', 'ABCC1', 'SLC22A6', 'ABCC3', 'SLCO1A2', 'GLO1', 'SLC22A7', 'ABCC4', 'ABCB1', 'ALB', 'PPARA', 'PTGS2', 'ABCC6']"
Liothyronine+Carbimazole,3,36,"5152, 4568","['SLCO4C1', 'THRB', 'TTR', 'SLC22A8', 'SLC7A5', 'ALB', 'SLC10A1', 'SLCO1A2', 'SLCO1C1', 'THRA', 'ABCC5', 'ABCB1', 'SLCO1B3', 'SLCO1B1', 'CYP19A1', 'STXBP2', 'EED', 'GET1', 'EGR1', 'PROS1', 'TPO']"
Procyclidine+Oxtriphylline+Naphazoline,19,36,"4582, 6065, 12841","['CD40', 'CHRM2', 'SDC1', 'PTGS2', 'CHRM1', 'CHRM4', 'CHRM3', 'PAX8', 'PDE4C', 'SLC22A7', 'PDE4B', 'PDE4D', 'ADORA2B', 'PDE3A', 'ADORA2A', 'ADORA1', 'HDAC2', 'PDE4A', 'CYP1A2', 'PDE3B', 'ADRA2C', 'ADRA2B', 'ADRA2A', 'ADRA1A']"
Lapatinib,7,36,6261,"['CYP3A5', 'DUSP6', 'EGFR', 'CYP2C19', 'FOSL1', 'IL4R', 'PIK3C2B', 'SDC1', 'ERBB2', 'CYP2C8', 'PTPN1', 'ABCB1', 'PI4KB', 'CYP3A4', 'ERBB4', 'PSMB8']"
Hexetidine+Stavudine,3,36,"13569, 2615","['KIT', 'CDK6', 'RAB27A', 'PROS1', 'VIM', 'ARID5B', 'CDC25B', 'CDK5R1', 'PAK1', 'PIN1', 'EPCAM', 'CDKN1B', 'PAK6', 'SLC28A1', 'ABHD6', 'SLC22A6']"
Sulfamethoxazole+Diflunisal+Estrone sulfate,7,36,"6787, 5843, 11586","['CYP3A4', 'NAT2', 'UGT1A9', 'CYP2C9', 'PCNA', 'CYP2C8', 'ALB', 'PTGS1', 'NAT1', 'PCNA', 'TYMS', 'UGT1A8', 'PTGS1', 'SLC22A6', 'PTGS2', 'TTR', 'ALB', 'ESR2', 'ALB', 'SLC22A1', 'CYP3A4', 'SHBG', 'CYP2C9', 'CYP1A2', 'ESR1']"
Nabumetone+Isoniazid+Eribulin+Tioconazole,7,36,"3993, 5542, 13776, 6771","['PTGS1', 'GMNN', 'CYP1A2', 'PTGS2', 'MPO', 'PIK3CA', 'CYP2C19', 'CYP2C9', 'NAT2', 'CYP1A2', 'CYP2C8', 'CYP3A4', 'CYP2E1', 'CYP2A6', 'CYP2D6', 'TUBB1', 'TUBB', 'TUBB8', 'TUBB3', 'TUBB2B', 'TUBB4A', 'TUBB4B', 'TUBB6', 'TUBB2A', 'CYP2C8', 'CYP1A2', 'CYP17A1', 'CYP2E1', 'CYP3A4', 'CYP19A1', 'CYP2C9', 'CYP2C19', 'CYP51A1']"
Ergotamine+Paliperidone,15,36,"2570, 6285","['ADRA1A', 'ADRA1D', 'HTR1A', 'CYP3A4', 'ADRA2A', 'HTR1D', 'CYP1A2', 'HTR1E', 'HTR1B', 'ADRA1B', 'HTR2A', 'ABCB1', 'HTR1F', 'DRD2', 'HTR2C', 'ADRA2B', 'SLC6A2', 'HTR2B', 'DRD3', 'HTR1D', 'CYP3A5', 'ADRA2C', 'DRD1', 'HTR2C', 'CYP2D6', 'HTR1B', 'ADRA1B', 'ADRA2B', 'HTR2A', 'DRD2', 'HRH1', 'DRD4', 'ADRA1A', 'CYP3A4', 'HTR1A', 'ADRA2A']"
Rivaroxaban+Valsartan+Levobunolol,3,36,"9492, 454, 6347","['CYP2J2', 'GJA1', 'CYP3A4', 'F10', 'ABCB1', 'CDK6', 'TENT4A', 'CYP3A5', 'SLCO1B3', 'FZD7', 'SACM1L', 'GDF15', 'SLCO1B1', 'ALB', 'CYP2C9', 'AGTR1', 'CAST', 'ADRB2', 'MMP1', 'ADRB1']"
Fesoterodine+Tiotropium+Tolterodine+Epinastine,15,36,"12826, 9615, 6831, 6396","['CHRM2', 'ABCB1', 'CHRM5', 'CHRM1', 'CYP2D6', 'CHRM3', 'CYP3A4', 'CHRM4', 'CHRM1', 'CYP3A4', 'CYP2D6', 'CHRM3', 'SLC22A5', 'CHRM5', 'CHRM2', 'SLC22A4', 'CYP2C9', 'CYP2C19', 'CHRM4', 'CYP3A4', 'CHRM3', 'CHRM5', 'CHRM2', 'KCNH2', 'CHRM1', 'CYP2D6', 'CYP3A4', 'HTR7', 'ABCB1', 'ADRA2A', 'HRH1', 'CYP2B6', 'CYP2D6', 'HTR2A', 'ADRA1A', 'HRH2']"
Guanabenz+Minaprine+Doxazosin,6,36,"2468, 5860, 3117","['ADRA2C', 'CASP10', 'TGFBR2', 'CYP1A2', 'ADRA2A', 'ADRA2B', 'CYP2D6', 'HTR2C', 'CHRM1', 'DRD2', 'ACHE', 'DRD1', 'HTR2A', 'MAOA', 'CDH3', 'SLC6A4', 'HTR2B', 'ADRA1D', 'KCNH6', 'CYP2D6', 'CYP2C19', 'ABCB1', 'ADRA2A', 'ADRA1A', 'KCNH2', 'KCNH7', 'ADRA1B']"
Acetylsalicylic acid+Ethinylestradiol,7,36,"5673, 5583","['TP53', 'SLC22A6', 'HSPA5', 'SLC22A7', 'CYP2C9', 'RPS6KA3', 'PTGS1', 'EDNRA', 'ABCB1', 'ALB', 'AKR1C1', 'PTGS2', 'CYP2C19', 'NFKBIA', 'IKBKB', 'CYP2C8', 'SLC10A1', 'ABCC2', 'ESR1', 'CYP3A4', 'AOX1', 'CYP2B6', 'ABCB11', 'ABCB1', 'CYP2C8', 'NR1I2', 'ESR2', 'SHBG', 'GDF15']"
Vecuronium+Silodosin+Doxylamine+Benzphetamine+Hydromorphone,6,37,"6011, 9514, 4507, 5855, 4647","['SLC22A1', 'PAK1', 'ABCB1', 'CHRNA2', 'CHRNB1', 'CHRND', 'CHRNA1', 'ADRA1A', 'CYP3A4', 'ABCB1', 'ABCB4', 'ADRA1B', 'UGT2B7', 'ADRA1D', 'HRH1', 'CHRM1', 'KIT', 'GDF15', 'ADRA1A', 'ADRA2A', 'SLC18A2', 'POR', 'CYP3A4', 'SLC6A3', 'SLC6A2', 'CYP2B6', 'UGT1A9', 'CYP3A4', 'OPRD1', 'OPRK1', 'PTGS1', 'OPRM1', 'CYP2C9', 'CYP2D6']"
Mifepristone,5,37,5809,"['CBLB', 'TUBB6', 'CCNB1', 'PGR', 'AR', 'SIRT3', 'PNP', 'CYP3A4', 'NR3C1', 'CDK6', 'SACM1L', 'TGFB3', 'CAT', 'IL1B', 'TLR4', 'CYP3A5', 'ABCC1', 'ABCB1', 'CYP2D6', 'CYP3A7']"
Imipramine,15,37,3959,"['CHRM3', 'CYP3A4', 'HTR6', 'CHRM1', 'HTR1A', 'KCND2', 'CYP2B6', 'DRD2', 'ADRA1A', 'HRH1', 'SLC6A3', 'CHRM5', 'CHRM2', 'KCNH2', 'CYP1A2', 'HTR2C', 'HTR2A', 'SLC22A1', 'ADRA1D', 'CYP3A7', 'CYP2E1', 'CYP2D6', 'CYP2C19', 'SLC22A4', 'ABCB1', 'ADRA1B', 'KCND3', 'SLC22A2', 'HTR7', 'SLC6A4', 'SLC22A3', 'CHRM4', 'SLC6A2']"
Fexofenadine+Propafenone+Ranolazine,7,37,"5550, 6226, 5302","['CYP2D6', 'GDF15', 'SLCO2B1', 'ABCB1', 'HRH1', 'SLCO1B1', 'SLCO1A2', 'SLCO1B3', 'CYP2D6', 'CYP1A2', 'CYP3A4', 'ADRB1', 'CYP2C8', 'ABCB1', 'CYP2C9', 'SCN5A', 'KCNH2', 'CYP2D6', 'NR1H2', 'KRT19', 'SDHB', 'CYP3A4', 'SCN9A', 'SCN5A']"
Pyruvic acid+Aspartic acid,20,37,"518, 541","['PC', 'PKM', 'SLC16A3', 'ABAT', 'SLC16A5', 'SLC16A7', 'ADSS2', 'ASPH', 'ASS1', 'SLC1A1', 'ACY3', 'ASNS', 'RNASE1']"
Potassium chloride+Sucralfate+Asparagine+N-Acetylglucosamine+Serine,24,37,"6417, 4519, 450, 1372, 610","['SLC12A5', 'SLC12A2', 'SLC12A1', 'SLC12A4', 'FGB', 'EGF', 'PGA5', 'FGA', 'FGF2', 'FGG', 'ALB', 'SLC1A5', 'ASNS', 'B4GALT2', 'CBS', 'SDS', 'SPTLC2']"
Dexmedetomidine+Propranolol,8,37,"2595, 3209","['SERPINA1', 'CYP2E1', 'CYP2D6', 'ADRA1B', 'ADRA1D', 'PRKAG2', 'SLC6A2', 'ADRA2B', 'CYP1A1', 'ADRA2A', 'CYP1A2', 'IKBKE', 'MELK', 'ADRA2C', 'ABCB1', 'ADRB3', 'CYP3A7', 'ADRB1', 'CYP3A4', 'HTR1B', 'CYP2C19', 'SLC22A2', 'CYP3A5', 'CYP1A2', 'CYP2D6', 'ADRB2', 'HTR1A', 'CYP1A1']"
Stanozolol+Disopyramide+Nilvadipine,1,37,"12832, 5198, 12840","['PRKAG2', 'AR', 'NFKB2', 'CDC25B', 'PTGS2', 'BACE2', 'SLC22A1', 'CHRM3', 'SCN5A', 'CHRM2', 'KCND2', 'SLC22A2', 'CYP3A4', 'KCND3', 'CHRM1', 'CACNA2D3', 'CYP2C9', 'CACNA1D', 'CYP1A2', 'CYP2E1', 'CYP3A4', 'CACNA2D1', 'CYP2C8', 'CYP2A6', 'CYP2C19', 'CACNA1C', 'CACNA1S', 'CACNB2']"
Flupentixol+Dextroamphetamine+Tolazoline+Scopolamine+Metolazone,19,37,"6068, 9272, 6372, 6183, 3312","['ABCB1', 'ADRA1A', 'HTR2A', 'DDC', 'DRD2', 'DRD1', 'CHRM1', 'CYP2D6', 'ADRA1A', 'SLC6A3', 'ADRA1B', 'SLC18A2', 'SLC6A2', 'TAAR1', 'ADRA2A', 'ADRA1A', 'HRH2', 'HRH1', 'ADRA2B', 'ADRA2C', 'CHRM4', 'ABCB1', 'SI', 'CHRM2', 'CHRM3', 'CHRM5', 'CHRM1', 'SLC12A3', 'CA4', 'CA12', 'CA5A', 'CA7', 'CA5B', 'CA9']"
Arginine+Riboflavin+Enflurane,10,37,"538, 1371, 5532","['NOS3', 'ASS1', 'SLC22A5', 'SLC22A4', 'NOS2', 'MAOA', 'RFK', 'MTHFR', 'HYOU1', 'TLR4', 'SLC22A6', 'CDKN2A', 'KCNK10', 'ATP2C1', 'ATP5F1D', 'GRIA1', 'KCNK3', 'KCNK18', 'GLRA1', 'KCNN4', 'KCNK9', 'KCNA1', 'ALB', 'KCNK2', 'CYP2E1']"
Ranitidine+Flunarizine,23,37,"5841, 11022","['CYP2C19', 'CYP3A5', 'SLC22A8', 'ABCB1', 'CYP3A4', 'SLC22A1', 'CYP1A2', 'SDC1', 'HRH2', 'CYP2D6', 'CALM1', 'CYP2B6', 'CYP1A1', 'CYP2D6', 'CACNA1H', 'FKBP4', 'CACNA1G', 'CYP2A6', 'CACNA1I', 'CYP1A2', 'ADAM10', 'HRH1', 'CYP2C9']"
Spironolactone+Ketoprofen,16,37,"4374, 6775","['CYP11B1', 'CYP11B2', 'NR3C1', 'ABCB1', 'SHBG', 'CYP2C8', 'PGR', 'MYC', 'SLCO1A2', 'CDK6', 'ABCC2', 'NR3C2', 'AR', 'GNAS', 'CXCL8', 'PTGS2', 'ALB', 'SLCO1A2', 'GJA1', 'SLC22A8', 'SLC22A7', 'SLC22A11', 'CYP2C8', 'ABCC4', 'SLC22A6', 'CYP2C9', 'HMOX1', 'PTGS1', 'CXCR1']"
Zolmitriptan+Zuclopenthixol+Methysergide,19,37,"4615, 9135, 5284","['HTR1F', 'MAOA', 'HTR1A', 'HTR1D', 'HTR1B', 'CYP1A2', 'HTR2A', 'ADRA1A', 'DRD1', 'DRD2', 'HRH1', 'CYP2D6', 'HTR6', 'FDFT1', 'DRD5', 'ADRA2A', 'HTR6', 'GJA1', 'HTR7', 'HTR1B', 'HTR1D', 'HTR2B', 'HTR1A', 'HTR1F', 'SIGMAR1', 'HTR1E', 'HTR2A', 'HTR2C']"
Dinoprost tromethamine+Acetylcysteine,11,37,"6199, 9727","['PTGFR', 'GDF15', 'PTGIR', 'SLC22A11', 'TBXA2R', 'PTGER3', 'GALR3', 'SIRT3', 'SLC22A7', 'HPGDS', 'SLC22A6', 'GHR', 'SLC22A2', 'PTGER1', 'SLC22A8', 'SLC7A11', 'GRIN2A', 'CDK6', 'GRIN3A', 'SLCO1B1', 'CHUK', 'IKBKB', 'GRIN2B', 'GRIN1', 'GRIN2D', 'SLC22A6']"
Diethylcarbamazine+Delavirdine+Tolazamide+Tolmetin,11,37,"1967, 1975, 5803, 3067","['ABHD6', 'BCHE', 'ALOX5', 'PTGS1', 'CYP2C9', 'CYP3A7', 'CYP3A4', 'CYP3A5', 'CYP2C8', 'CYP2C19', 'CYP1A2', 'CYP2D6', 'PSMD2', 'KCNJ11', 'TSC22D3', 'ABCC8', 'GDF15', 'KCNJ1', 'TDO2', 'PTGS1', 'CXCL8', 'MPO', 'PTGS2', 'SLC22A6']"
Trimipramine,8,37,6117,"['CYP2D6', 'SLC6A3', 'LIPA', 'HMGCR', 'ADRA2A', 'FDPS', 'SLC6A2', 'CYP2C19', 'SLC6A4', 'CYP2C9', 'HRH1', 'HTR1D', 'HTR2C', 'HTR1A', 'SQLE', 'NPC1', 'FDFT1', 'SUV39H1', 'CYP3A4', 'DRD2', 'HTR3A', 'ADRA1B', 'ABCB1', 'ADRA1A', 'ADRA2B', 'HTR2A']"
Fluoxetine,0,37,3785,"['SLC6A2', 'SLC6A4', 'CYP2C19', 'EIF4EBP1', 'CYP1A2', 'SIGMAR1', 'CYP2C9', 'ABCB1', 'CYP2D6', 'MMP2', 'CYP3A4', 'HMGCR', 'ALB', 'PLK1', 'HTR2C', 'HTR2A', 'CYP3A5', 'CYP2B6']"
Salmeterol,0,37,5634,"['CCNA2', 'TOP2A', 'FDPS', 'PCNA', 'FDFT1', 'TXNRD1', 'CYP3A4', 'HMGCR', 'CYP2C8', 'MYC', 'IGFBP3', 'CYP3A7', 'CYP3A5', 'SCD', 'ADRB2']"
Quazepam+Halazepam,18,37,"9279, 5869","['GABRB1', 'GABRA2', 'CYP2C19', 'GABRA3', 'GABRR2', 'GABRG2', 'CYP3A4', 'GABRR1', 'GABRR3', 'GABRD', 'GABRG1', 'GABRB3', 'GABRG3', 'GABRA1', 'CYP2C9', 'GABRE', 'GABRA5', 'GABRP', 'GABRP', 'GABRA6', 'GABRR2', 'GABRG1', 'GABRA3', 'GABRE', 'GABRA5', 'GABRB1', 'GABRB3', 'GABRR1', 'GABRD', 'GABRA2', 'GABRG2', 'GABRR3', 'GABRB2', 'GABRA1', 'GABRA4', 'GABRG3', 'GABRQ']"
Clonazepam+Ketazolam+Clorazepic acid+Ethionamide,18,37,"6532, 9281, 2470, 2011","['NAT2', 'GABRG2', 'CYP3A4', 'CYP2E1', 'TSPO', 'GABRB2', 'ALB', 'GABRA3', 'GABRA1', 'TSPO', 'GABRD', 'CYP3A4', 'GABRG1', 'GABRE', 'ABCB1', 'GABRA1', 'ALB', 'GABRB1', 'GABRA3', 'CYP3A4', 'GABRA5', 'TSPO', 'GABRG2', 'GABRA1', 'GABRA2', 'GABRB3', 'GABRB2', 'IKZF1']"
Nalbuphine+Thiamylal,18,38,"5826, 6624","['GDF15', 'PAK1', 'DCK', 'TRIB3', 'TGFBR2', 'OPRD1', 'PMM2', 'OPRM1', 'TOR1A', 'PIN1', 'OPRK1', 'GABRB3', 'CYP2C9', 'GABRP', 'GABRA4', 'GABRG3', 'GABRA6', 'GABRA3', 'GABRB2', 'GABRA2', 'KCNJ8', 'GABRD', 'GABRB1', 'GABRG2', 'GABRA5', 'GABRA1', 'GABRE', 'KCNJ11', 'GABRQ', 'GABRG1']"
Gallium nitrate+Adenine+Deslanoside+Acetyldigitoxin+Monobenzone,9,38,"8745, 448, 6551, 3263, 2017","['RRM2', 'TF', 'IL1B', 'ATP6V1B2', 'BGLAP', 'UGT1A1', 'APRT', 'MTAP', 'ACP1', 'ACACB', 'ATP1B3', 'ATP1A3', 'ATP1A4', 'FXYD2', 'ATP1B2', 'ATP1A2', 'ATP1B1', 'ATP1A1', 'ATP1A4', 'ATP1B1', 'ATP1B2', 'ATP1B3', 'FXYD2', 'ATP1A2', 'ATP1A1', 'ATP1A3', 'TYR', 'PMM2']"
Orphenadrine+Ketamine,6,38,"6203, 6357","['GRIN2D', 'GRIN3B', 'HRH1', 'SCN10A', 'SLC6A2', 'CYP3A4', 'CYP2B6', 'SCN4A', 'SCN1A', 'SCN9A', 'GRIN3A', 'CYP2E1', 'SCN5A', 'GRIN1', 'KCNH2', 'CHRM2', 'SLC6A2', 'GRIN2A', 'DRD2', 'OPRK1', 'CYP2C8', 'GRIN2C', 'GRIN3B', 'GRIN2B', 'TACR1', 'OPRD1', 'PTGS1', 'GRIN3A', 'CYP3A4', 'CYP2C9', 'GRIN1', 'OPRM1', 'ABCB1', 'GRIN2D', 'CYP2B6']"
Loratadine+Metoprolol+Salicylic acid,16,38,"3956, 5380, 5636","['CYP2C9', 'CYP2C19', 'KCNH2', 'CYP3A4', 'HMOX1', 'ABCB1', 'CYP2D6', 'TUBB6', 'HRH1', 'CYP2C8', 'ABCB1', 'SLC22A2', 'LAP3', 'CYP2C19', 'CAST', 'ADRB2', 'CDK4', 'CYP2D6', 'ADRB1', 'SLC22A8', 'PTGS2', 'AKR1C1', 'ALB', 'SLC22A7', 'PTGS1', 'SLC22A11', 'ABCB1', 'SLC22A6', 'CYP2C9', 'SLCO2B1']"
Pilocarpine+Pancuronium+Propiomazine,15,38,"6472, 6009, 6424","['CHRM1', 'CYP2A6', 'CYP3A4', 'PRKX', 'CHRM2', 'CYP2E1', 'CHRM3', 'CHRNB1', 'CHRM3', 'GET1', 'CHRNA2', 'NOTCH1', 'CHRND', 'GDF15', 'CHRNA1', 'CHRM2', 'SLC22A2', 'SLC22A1', 'BCHE', 'ADRA1D', 'ADRA1B', 'HTR2C', 'ADRA1A', 'DRD2', 'CHRM1', 'CHRM3', 'DRD1', 'CHRM5', 'DRD4', 'CHRM2', 'CHRM4', 'HTR2A', 'HRH1']"
Flecainide+Sparfloxacin,0,38,"6233, 6324","['RRM2', 'HMOX1', 'CYP2D6', 'EIF4EBP1', 'CYP2C9', 'GJA1', 'CDK6', 'SCN5A', 'SCN4A', 'TENT4A', 'GET1', 'PAX8', 'SLC22A5', 'GHR', 'TOP2A', 'ABCC2', 'SDC1', 'ABCB1']"
Tranexamic acid+Phenylalanine+Amlexanox+Mercaptopurine,2,38,"5029, 547, 6813, 6833","['SLC15A2', 'KRT18', 'PLG', 'PAH', 'TH', 'TAT', 'PDE4A', 'IL3', 'PDE4B', 'S100A12', 'PDE4C', 'PDE4D', 'FGF1', 'XDH', 'HPRT1', 'SLC29A1', 'SLC28A2', 'AOX1', 'ABCC5', 'ABCC4', 'PPAT', 'TPMT', 'SLC29A2', 'SLC28A3', 'SLC22A8']"
Arsenic trioxide+Tiaprofenic acid+Rimonabant,3,38,"6190, 9086, 9724","['CYP1B1', 'MAPK3', 'IKBKB', 'CYP3A4', 'JUN', 'AKT1', 'CYP1A1', 'ABCC2', 'ABCB1', 'CCND1', 'MAPK1', 'TXNRD1', 'DFFB', 'C5', 'PTGS2', 'GHR', 'PAX8', 'PTGS1', 'TYMS', 'CYP2C9', 'HP', 'CYP3A4', 'CYP2D6', 'CNR1', 'CNR2', 'MMP1', 'CYP1A2']"
Fomepizole+Ergocalciferol+Carfilzomib+Alprostadil+Calcifediol,13,38,"6336, 423, 13779, 6430, 1370","['CAT', 'ADH1B', 'ADH1C', 'CYP2E1', 'ADH1A', 'CYP2A6', 'CYP2R1', 'CYP3A4', 'CYP27A1', 'VDR', 'CYP24A1', 'AR', 'CYP27B1', 'PSMB2', 'PSMB9', 'ABCB1', 'PSMB8', 'PSMB1', 'PSMB10', 'PSMB5', 'ABCC4', 'ABCC5', 'SLCO2B1', 'PTGIR', 'PTGER1', 'PTGER2', 'EPCAM', 'CYP27B1', 'CYP24A1', 'VDR']"
Erythromycin+Esmolol,14,38,"5130, 508","['CYP3A7', 'CYP2B6', 'CYP1A2', 'SLC22A7', 'CYP3A5', 'CYP3A4', 'MLNR', 'ABCC1', 'ABCB1', 'SLCO1A2', 'ADRB1', 'PAX8', 'PIN1', 'STX4', 'VIM', 'ADRB2']"
Bromfenac+Etidronic acid,7,38,"5558, 6550","['CHEK2', 'SPP1', 'CES1', 'PTGS1', 'PTGS2', 'GNAS', 'PAK1', 'PAX8', 'ABCC5', 'XBP1', 'CDK6', 'BAD']"
